angle radius accuracy
-20.0000 0.5000 20.0000
-19.3220 0.5000 26.8301
-18.6441 0.5000 33.6212
-17.9661 0.5000 40.3344
-17.2881 0.5000 46.9308
-16.6102 0.5000 53.3712
-15.9322 0.5000 59.6168
-15.2542 0.5000 65.6287
-14.5763 0.5000 71.3678
-13.8983 0.5000 76.7952
-13.2203 0.5000 81.8719
-12.5424 0.5000 86.5589
-11.8644 0.5000 90.8174
-11.1864 0.5000 94.6083
-10.5085 0.5000 97.8926
-9.8305 0.5000 100.6285
-9.1525 0.5000 102.7397
-8.4746 0.5000 104.2560
-7.7966 0.5000 105.2436
-7.1186 0.5000 105.7686
-6.4407 0.5000 105.8973
-5.7627 0.5000 105.6958
-5.0847 0.5000 105.2302
-4.4068 0.5000 104.5667
-3.7288 0.5000 103.7715
-3.0508 0.5000 102.9107
-2.3729 0.5000 102.0505
-1.6949 0.5000 101.2571
-1.0169 0.5000 100.5967
-0.3390 0.5000 100.1353
0.3390 0.5000 99.9367
1.0169 0.5000 100.0063
1.6949 0.5000 100.2915
2.3729 0.5000 100.7370
3.0508 0.5000 101.2876
3.7288 0.5000 101.8883
4.4068 0.5000 102.4837
5.0847 0.5000 103.0186
5.7627 0.5000 103.4379
6.4407 0.5000 103.6864
7.1186 0.5000 103.7089
7.7966 0.5000 103.4502
8.4746 0.5000 102.8550
9.1525 0.5000 101.8683
9.8305 0.5000 100.4347
10.5085 0.5000 98.5588
11.1864 0.5000 96.3707
11.8644 0.5000 93.8980
12.5424 0.5000 91.1627
13.2203 0.5000 88.1867
13.8983 0.5000 84.9918
14.5763 0.5000 81.5999
15.2542 0.5000 78.0329
15.9322 0.5000 74.3127
16.6102 0.5000 70.4612
17.2881 0.5000 66.5003
17.9661 0.5000 62.4518
18.6441 0.5000 58.3377
19.3220 0.5000 54.1798
20.0000 0.5000 50.0000
-20.0000 0.6026 17.4047
-19.3220 0.6026 24.4543
-18.6441 0.6026 31.5708
-17.9661 0.6026 38.5969
-17.2881 0.6026 45.4766
-16.6102 0.6026 52.1710
-15.9322 0.6026 58.6411
-15.2542 0.6026 64.8479
-14.5763 0.6026 70.7526
-13.8983 0.6026 76.3160
-13.2203 0.6026 81.4993
-12.5424 0.6026 86.2634
-11.8644 0.6026 90.5704
-11.1864 0.6026 94.3969
-10.5085 0.6026 97.8161
-9.8305 0.6026 100.6739
-9.1525 0.6026 102.7086
-8.4746 0.6026 104.5109
-7.7966 0.6026 105.7500
-7.1186 0.6026 106.4754
-6.4407 0.6026 106.7543
-5.7627 0.6026 106.6530
-5.0847 0.6026 106.2376
-4.4068 0.6026 105.5743
-3.7288 0.6026 104.7291
-3.0508 0.6026 103.7684
-2.3729 0.6026 102.7582
-1.6949 0.6026 101.7648
-1.0169 0.6026 100.8542
-0.3390 0.6026 100.1964
0.3390 0.6026 100.0009
1.0169 0.6026 100.2414
1.6949 0.6026 100.7380
2.3729 0.6026 101.3531
3.0508 0.6026 102.0317
3.7288 0.6026 102.7185
4.4068 0.6026 103.3582
5.0847 0.6026 103.8958
5.7627 0.6026 104.2761
6.4407 0.6026 104.4437
7.1186 0.6026 104.3436
7.7966 0.6026 103.9205
8.4746 0.6026 103.1170
9.1525 0.6026 101.8890
9.8305 0.6026 100.5110
10.5085 0.6026 98.4485
11.1864 0.6026 95.9357
11.8644 0.6026 93.1962
12.5424 0.6026 90.1974
13.2203 0.6026 86.9423
13.8983 0.6026 83.4517
14.5763 0.6026 79.7477
15.2542 0.6026 75.8519
15.9322 0.6026 71.7865
16.6102 0.6026 67.5731
17.2881 0.6026 63.2338
17.9661 0.6026 58.7903
18.6441 0.6026 54.2647
19.3220 0.6026 49.6887
20.0000 0.6026 45.1532
-20.0000 0.7051 14.8441
-19.3220 0.7051 22.0477
-18.6441 0.7051 29.3338
-17.9661 0.7051 36.6073
-17.2881 0.7051 43.7499
-16.6102 0.7051 50.6778
-15.9322 0.7051 57.3519
-15.2542 0.7051 63.7333
-14.5763 0.7051 69.7830
-13.8983 0.7051 75.4626
-13.2203 0.7051 80.7420
-12.5424 0.7051 85.5848
-11.8644 0.7051 89.9667
-11.1864 0.7051 94.1056
-10.5085 0.7051 97.8412
-9.8305 0.7051 100.7294
-9.1525 0.7051 102.7010
-8.4746 0.7051 104.0373
-7.7966 0.7051 105.4074
-7.1186 0.7051 106.4163
-6.4407 0.7051 106.8989
-5.7627 0.7051 106.9382
-5.0847 0.7051 106.6120
-4.4068 0.7051 105.9878
-3.7288 0.7051 105.1318
-3.0508 0.7051 104.1101
-2.3729 0.7051 102.9889
-1.6949 0.7051 101.8498
-1.0169 0.7051 100.8753
-0.3390 0.7051 100.2256
0.3390 0.7051 100.0394
1.0169 0.7051 100.2889
1.6949 0.7051 100.8500
2.3729 0.7051 101.5926
3.0508 0.7051 102.3690
3.7288 0.7051 103.1118
4.4068 0.7051 103.7660
5.0847 0.7051 104.2761
5.7627 0.7051 104.5872
6.4407 0.7051 104.6420
7.1186 0.7051 104.3733
7.7966 0.7051 103.7108
8.4746 0.7051 102.7974
9.1525 0.7051 101.9630
9.8305 0.7051 100.5960
10.5085 0.7051 98.4558
11.1864 0.7051 95.6229
11.8644 0.7051 92.4570
12.5424 0.7051 89.1361
13.2203 0.7051 85.5741
13.8983 0.7051 81.7806
14.5763 0.7051 77.7693
15.2542 0.7051 73.5505
15.9322 0.7051 69.1453
16.6102 0.7051 64.5757
17.2881 0.7051 59.8636
17.9661 0.7051 55.0308
18.6441 0.7051 50.1255
19.3220 0.7051 45.2153
20.0000 0.7051 40.3539
-20.0000 0.8077 12.3529
-19.3220 0.8077 19.7219
-18.6441 0.8077 27.1761
-17.9661 0.8077 34.6201
-17.2881 0.8077 41.9588
-16.6102 0.8077 49.0963
-15.9322 0.8077 55.9541
-15.2542 0.8077 62.4915
-14.5763 0.8077 68.6696
-13.8983 0.8077 74.4488
-13.2203 0.8077 79.7897
-12.5424 0.8077 84.7792
-11.8644 0.8077 89.6046
-11.1864 0.8077 94.0993
-10.5085 0.8077 97.8619
-9.8305 0.8077 100.7805
-9.1525 0.8077 102.8067
-8.4746 0.8077 104.0068
-7.7966 0.8077 104.7772
-7.1186 0.8077 105.5958
-6.4407 0.8077 106.4128
-5.7627 0.8077 106.7218
-5.0847 0.8077 106.5696
-4.4068 0.8077 106.0389
-3.7288 0.8077 105.2126
-3.0508 0.8077 104.1690
-2.3729 0.8077 103.0021
-1.6949 0.8077 101.8593
-1.0169 0.8077 100.8917
-0.3390 0.8077 100.2503
0.3390 0.8077 100.0732
1.0169 0.8077 100.3317
1.6949 0.8077 100.9013
2.3729 0.8077 101.6592
3.0508 0.8077 102.4825
3.7288 0.8077 103.2514
4.4068 0.8077 103.8883
5.0847 0.8077 104.3266
5.7627 0.8077 104.4959
6.4407 0.8077 104.3261
7.1186 0.8077 103.7783
7.7966 0.8077 103.2903
8.4746 0.8077 102.8898
9.1525 0.8077 102.1363
9.8305 0.8077 100.6738
10.5085 0.8077 98.4558
11.1864 0.8077 95.5434
11.8644 0.8077 92.0216
12.5424 0.8077 88.2187
13.2203 0.8077 84.2888
13.8983 0.8077 80.1749
14.5763 0.8077 75.8345
15.2542 0.8077 71.2841
15.9322 0.8077 66.5406
16.6102 0.8077 61.6202
17.2881 0.8077 56.5429
17.9661 0.8077 51.3531
18.6441 0.8077 46.1050
19.3220 0.8077 40.8525
20.0000 0.8077 35.6496
-20.0000 0.9103 9.9658
-19.3220 0.9103 17.5117
-18.6441 0.9103 25.1454
-17.9661 0.9103 32.7715
-17.2881 0.9103 40.2948
-16.6102 0.9103 47.6089
-15.9322 0.9103 54.6058
-15.2542 0.9103 61.2417
-14.5763 0.9103 67.4770
-13.8983 0.9103 73.2923
-13.2203 0.9103 78.9378
-12.5424 0.9103 84.4055
-11.8644 0.9103 89.5623
-11.1864 0.9103 94.0997
-10.5085 0.9103 97.8742
-9.8305 0.9103 100.8231
-9.1525 0.9103 102.9040
-8.4746 0.9103 104.1854
-7.7966 0.9103 104.7697
-7.1186 0.9103 105.0661
-6.4407 0.9103 105.3772
-5.7627 0.9103 105.8638
-5.0847 0.9103 106.0740
-4.4068 0.9103 105.8049
-3.7288 0.9103 105.1394
-3.0508 0.9103 104.1603
-2.3729 0.9103 102.9991
-1.6949 0.9103 101.8619
-1.0169 0.9103 100.9012
-0.3390 0.9103 100.2680
0.3390 0.9103 100.1002
1.0169 0.9103 100.3676
1.6949 0.9103 100.9457
2.3729 0.9103 101.7115
3.0508 0.9103 102.5413
3.7288 0.9103 103.2663
4.4068 0.9103 103.7771
5.0847 0.9103 104.0033
5.7627 0.9103 103.8745
6.4407 0.9103 103.5703
7.1186 0.9103 103.4770
7.7966 0.9103 103.4373
8.4746 0.9103 103.1673
9.1525 0.9103 102.2973
9.8305 0.9103 100.7392
10.5085 0.9103 98.4435
11.1864 0.9103 95.4637
11.8644 0.9103 91.8448
12.5424 0.9103 87.6969
13.2203 0.9103 83.2781
13.8983 0.9103 78.7132
14.5763 0.9103 74.0545
15.2542 0.9103 69.1845
15.9322 0.9103 64.1096
16.6102 0.9103 58.8464
17.2881 0.9103 53.4137
17.9661 0.9103 47.8648
18.6441 0.9103 42.2582
19.3220 0.9103 36.6478
20.0000 0.9103 31.0876
-20.0000 1.0128 7.7175
-19.3220 1.0128 15.4518
-18.6441 1.0128 23.2764
-17.9661 1.0128 31.0961
-17.2881 1.0128 38.8036
-16.6102 1.0128 46.2163
-15.9322 1.0128 53.2662
-15.2542 1.0128 59.9139
-14.5763 1.0128 66.2680
-13.8983 1.0128 72.5348
-13.2203 1.0128 78.6006
-12.5424 1.0128 84.3429
-11.8644 1.0128 89.5567
-11.1864 1.0128 94.0878
-10.5085 1.0128 97.8743
-9.8305 1.0128 100.8535
-9.1525 1.0128 102.9890
-8.4746 1.0128 104.3517
-7.7966 1.0128 105.0328
-7.1186 1.0128 105.1537
-6.4407 1.0128 105.0418
-5.7627 1.0128 104.9109
-5.0847 1.0128 104.9399
-4.4068 1.0128 105.0796
-3.7288 1.0128 104.7684
-3.0508 1.0128 104.0428
-2.3729 1.0128 102.9868
-1.6949 1.0128 101.8553
-1.0169 1.0128 100.9015
-0.3390 1.0128 100.2765
0.3390 1.0128 100.1180
1.0169 1.0128 100.3943
1.6949 1.0128 100.9809
2.3729 1.0128 101.7547
3.0508 1.0128 102.5093
3.7288 1.0128 103.0348
4.4068 1.0128 103.2601
5.0847 1.0128 103.1557
5.7627 1.0128 103.2148
6.4407 1.0128 103.4669
7.1186 1.0128 103.7384
7.7966 1.0128 103.8249
8.4746 1.0128 103.4275
9.1525 1.0128 102.4409
9.8305 1.0128 100.7872
10.5085 1.0128 98.4139
11.1864 1.0128 95.3668
11.8644 1.0128 91.6904
12.5424 1.0128 87.4282
13.2203 1.0128 82.7010
13.8983 1.0128 77.6875
14.5763 1.0128 72.5037
15.2542 1.0128 67.2612
15.9322 1.0128 61.8792
16.6102 1.0128 56.2972
17.2881 1.0128 50.5318
17.9661 1.0128 44.6135
18.6441 1.0128 38.6327
19.3220 1.0128 32.6487
20.0000 1.0128 26.7156
-20.0000 1.1154 5.6427
-19.3220 1.1154 13.5769
-18.6441 1.1154 21.6039
-17.9661 1.1154 29.6254
-17.2881 1.1154 37.4101
-16.6102 1.1154 44.8304
-15.9322 1.1154 51.8723
-15.2542 1.1154 58.8187
-14.5763 1.1154 65.6627
-13.8983 1.1154 72.2822
-13.2203 1.1154 78.5550
-12.5424 1.1154 84.3455
-11.8644 1.1154 89.5349
-11.1864 1.1154 94.0597
-10.5085 1.1154 97.8582
-9.8305 1.1154 100.8678
-9.1525 1.1154 103.0579
-8.4746 1.1154 104.5018
-7.7966 1.1154 105.2909
-7.1186 1.1154 105.5164
-6.4407 1.1154 105.2969
-5.7627 1.1154 104.8422
-5.0847 1.1154 104.3347
-4.4068 1.1154 103.9535
-3.7288 1.1154 103.8630
-3.0508 1.1154 103.5844
-2.3729 1.1154 102.8734
-1.6949 1.1154 101.8372
-1.0169 1.1154 100.8903
-0.3390 1.1154 100.2735
0.3390 1.1154 100.1242
1.0169 1.1154 100.4095
1.6949 1.1154 101.0045
2.3729 1.1154 101.7130
3.0508 1.1154 102.1957
3.7288 1.1154 102.3624
4.4068 1.1154 102.4321
5.0847 1.1154 102.8212
5.7627 1.1154 103.3692
6.4407 1.1154 103.9026
7.1186 1.1154 104.2448
7.7966 1.1154 104.2002
8.4746 1.1154 103.6653
9.1525 1.1154 102.5622
9.8305 1.1154 100.8130
10.5085 1.1154 98.3620
11.1864 1.1154 95.2474
11.8644 1.1154 91.5138
12.5424 1.1154 87.2041
13.2203 1.1154 82.3629
13.8983 1.1154 77.0863
14.5763 1.1154 71.4992
15.2542 1.1154 65.7177
15.9322 1.1154 59.8578
16.6102 1.1154 53.9668
17.2881 1.1154 47.8952
17.9661 1.1154 41.6451
18.6441 1.1154 35.2759
19.3220 1.1154 28.9027
20.0000 1.1154 22.5809
-20.0000 1.2179 3.7762
-19.3220 1.2179 11.9216
-18.6441 1.2179 20.1625
-17.9661 1.2179 28.2745
-17.2881 1.2179 36.0212
-16.6102 1.2179 43.5343
-15.9322 1.2179 51.0370
-15.2542 1.2179 58.4138
-14.5763 1.2179 65.5428
-13.8983 1.2179 72.2979
-13.2203 1.2179 78.5779
-12.5424 1.2179 84.3280
-11.8644 1.2179 89.4930
-11.1864 1.2179 94.0116
-10.5085 1.2179 97.8219
-9.8305 1.2179 100.8619
-9.1525 1.2179 103.1066
-8.4746 1.2179 104.6319
-7.7966 1.2179 105.5289
-7.1186 1.2179 105.8890
-6.4407 1.2179 105.7987
-5.7627 1.2179 105.3364
-5.0847 1.2179 104.6050
-4.4068 1.2179 103.7865
-3.7288 1.2179 103.0606
-3.0508 1.2179 102.6065
-2.3729 1.2179 102.3770
-1.6949 1.2179 101.7553
-1.0169 1.2179 100.8653
-0.3390 1.2179 100.2566
0.3390 1.2179 100.1166
1.0169 1.2179 100.4109
1.6949 1.2179 100.9736
2.3729 1.2179 101.3557
3.0508 1.2179 101.4579
3.7288 1.2179 101.8290
4.4068 1.2179 102.4987
5.0847 1.2179 103.2933
5.7627 1.2179 104.0386
6.4407 1.2179 104.5575
7.1186 1.2179 104.7512
7.7966 1.2179 104.5481
8.4746 1.2179 103.8757
9.1525 1.2179 102.6561
9.8305 1.2179 100.8113
10.5085 1.2179 98.2826
11.1864 1.2179 95.1007
11.8644 1.2179 91.3097
12.5424 1.2179 86.9527
13.2203 1.2179 82.0716
13.8983 1.2179 76.7059
14.5763 1.2179 70.9050
15.2542 1.2179 64.7655
15.9322 1.2179 58.4074
16.6102 1.2179 51.9468
17.2881 1.2179 45.4959
17.9661 1.2179 38.9521
18.6441 1.2179 32.2353
19.3220 1.2179 25.4572
20.0000 1.2179 18.7310
-20.0000 1.3205 2.1525
-19.3220 1.3205 10.5208
-18.6441 1.3205 18.8965
-17.9661 1.3205 26.9585
-17.2881 1.3205 35.0003
-16.6102 1.3205 43.0150
-15.9322 1.3205 50.8608
-15.2542 1.3205 58.3929
-14.5763 1.3205 65.5539
-13.8983 1.3205 72.2907
-13.2203 1.3205 78.5505
-12.5424 1.3205 84.2803
-11.8644 1.3205 89.4270
-11.1864 1.3205 93.9395
-10.5085 1.3205 97.7618
-9.8305 1.3205 100.8321
-9.1525 1.3205 103.1314
-8.4746 1.3205 104.7379
-7.7966 1.3205 105.7406
-7.1186 1.3205 106.2158
-6.4407 1.3205 106.2409
-5.7627 1.3205 105.8940
-5.0847 1.3205 105.2531
-4.4068 1.3205 104.3961
