height radius accuracy
0.0000 0.0000 100.0000
0.1356 0.0000 99.9971
0.2712 0.0000 99.9946
0.4068 0.0000 99.9927
0.5424 0.0000 99.9917
0.6780 0.0000 99.9921
0.8136 0.0000 99.9941
0.9492 0.0000 99.9980
1.0847 0.0000 100.0021
1.2203 0.0000 100.0004
1.3559 0.0000 99.9947
1.4915 0.0000 99.9879
1.6271 0.0000 99.9828
1.7627 0.0000 99.9821
1.8983 0.0000 99.9887
2.0339 0.0000 100.0052
2.1695 0.0000 100.0314
2.3051 0.0000 100.0609
2.4407 0.0000 100.0865
2.5763 0.0000 100.1014
2.7119 0.0000 100.0983
2.8475 0.0000 100.0702
2.9831 0.0000 100.0101
3.1186 0.0000 99.9101
3.2542 0.0000 99.7842
3.3898 0.0000 99.6629
3.5254 0.0000 99.5771
3.6610 0.0000 99.5574
3.7966 0.0000 99.6348
3.9322 0.0000 99.8399
4.0678 0.0000 100.2029
4.2034 0.0000 100.6948
4.3390 0.0000 101.2023
4.4746 0.0000 101.6066
4.6102 0.0000 101.7889
4.7458 0.0000 101.6302
4.8814 0.0000 101.0117
5.0169 0.0000 99.8147
5.1525 0.0000 97.9809
5.2881 0.0000 95.6190
5.4237 0.0000 92.8663
5.5593 0.0000 89.8602
5.6949 0.0000 86.7380
5.8305 0.0000 83.6370
5.9661 0.0000 80.6947
6.1017 0.0000 78.0387
6.2373 0.0000 75.6138
6.3729 0.0000 73.2284
6.5085 0.0000 70.6888
6.6441 0.0000 67.8010
6.7797 0.0000 64.3713
6.9153 0.0000 60.2058
7.0508 0.0000 55.1135
7.1864 0.0000 49.0400
7.3220 0.0000 42.1194
7.4576 0.0000 34.5000
7.5932 0.0000 26.3302
7.7288 0.0000 17.7580
7.8644 0.0000 8.9319
8.0000 0.0000 0.0000
0.0000 0.1923 99.4767
0.1356 0.1923 99.4606
0.2712 0.1923 99.4718
0.4068 0.1923 99.4838
0.5424 0.1923 99.4969
0.6780 0.1923 99.5114
0.8136 0.1923 99.5275
0.9492 0.1923 99.5796
1.0847 0.1923 99.6058
1.2203 0.1923 99.6174
1.3559 0.1923 99.6332
1.4915 0.1923 99.6470
1.6271 0.1923 99.6618
1.7627 0.1923 99.6801
1.8983 0.1923 99.7050
2.0339 0.1923 99.7285
2.1695 0.1923 99.7798
2.3051 0.1923 99.8353
2.4407 0.1923 99.8851
2.5763 0.1923 99.9220
2.7119 0.1923 99.9390
2.8475 0.1923 99.9290
2.9831 0.1923 99.9472
3.1186 0.1923 99.9004
3.2542 0.1923 99.8154
3.3898 0.1923 99.7438
3.5254 0.1923 99.7164
3.6610 0.1923 99.7639
3.7966 0.1923 99.9171
3.9322 0.1923 100.1948
4.0678 0.1923 100.5049
4.2034 0.1923 100.7605
4.3390 0.1923 101.0652
4.4746 0.1923 101.3004
4.6102 0.1923 101.3472
4.7458 0.1923 101.0868
4.8814 0.1923 100.4004
5.0169 0.1923 99.1324
5.1525 0.1923 97.1517
5.2881 0.1923 94.6712
5.4237 0.1923 91.8389
5.5593 0.1923 88.7921
5.6949 0.1923 85.6682
5.8305 0.1923 82.6045
5.9661 0.1923 79.7743
6.1017 0.1923 76.8417
6.2373 0.1923 74.1673
6.3729 0.1923 71.5976
6.5085 0.1923 68.9286
6.6441 0.1923 65.9665
6.7797 0.1923 62.5173
6.9153 0.1923 58.3874
7.0508 0.1923 53.3741
7.1864 0.1923 47.3588
7.3220 0.1923 40.5364
7.4576 0.1923 33.0573
7.5932 0.1923 25.0698
7.7288 0.1923 16.7220
7.8644 0.1923 8.1626
8.0000 0.1923 -0.3956
0.0000 0.3846 98.9720
0.1356 0.3846 98.9053
0.2712 0.3846 98.9292
0.4068 0.3846 98.9549
0.5424 0.3846 98.9817
0.6780 0.3846 99.0100
0.8136 0.3846 99.0935
0.9492 0.3846 99.1462
1.0847 0.3846 99.2187
1.2203 0.3846 99.2583
1.3559 0.3846 99.2859
1.4915 0.3846 99.3219
1.6271 0.3846 99.3580
1.7627 0.3846 99.3969
1.8983 0.3846 99.4394
2.0339 0.3846 99.4596
2.1695 0.3846 99.5139
2.3051 0.3846 99.5867
2.4407 0.3846 99.6516
2.5763 0.3846 99.7017
2.7119 0.3846 99.7306
2.8475 0.3846 99.7944
2.9831 0.3846 99.9408
3.1186 0.3846 99.9580
3.2542 0.3846 99.9126
3.3898 0.3846 99.8874
3.5254 0.3846 99.9152
3.6610 0.3846 100.0266
3.7966 0.3846 100.2367
3.9322 0.3846 100.6831
4.0678 0.3846 100.9528
4.2034 0.3846 100.9052
4.3390 0.3846 100.9998
4.4746 0.3846 101.0581
4.6102 0.3846 100.9616
4.7458 0.3846 100.5917
4.8814 0.3846 99.8261
5.0169 0.3846 98.4473
5.1525 0.3846 96.3520
5.2881 0.3846 93.7572
5.4237 0.3846 90.8496
5.5593 0.3846 87.7664
5.6949 0.3846 84.6451
5.8305 0.3846 81.6369
5.9661 0.3846 78.9794
6.1017 0.3846 75.7680
6.2373 0.3846 72.6948
6.3729 0.3846 69.9339
6.5085 0.3846 67.1427
6.6441 0.3846 64.1133
6.7797 0.3846 60.6520
6.9153 0.3846 56.5648
7.0508 0.3846 51.6415
7.1864 0.3846 45.7138
7.3220 0.3846 38.9939
7.4576 0.3846 31.6593
7.5932 0.3846 23.8583
7.7288 0.3846 15.7402
7.8644 0.3846 7.4876
8.0000 0.3846 -0.6092
0.0000 0.5769 98.5048
0.1356 0.5769 98.3915
0.2712 0.5769 98.4091
0.4068 0.5769 98.4482
0.5424 0.5769 98.4886
0.6780 0.5769 98.5803
0.8136 0.5769 98.7945
0.9492 0.5769 98.7255
1.0847 0.5769 98.7929
1.2203 0.5769 98.9865
1.3559 0.5769 98.9722
1.4915 0.5769 99.0201
1.6271 0.5769 99.0789
1.7627 0.5769 99.1398
1.8983 0.5769 99.1940
2.0339 0.5769 99.2104
2.1695 0.5769 99.2569
2.3051 0.5769 99.3351
2.4407 0.5769 99.4064
2.5763 0.5769 99.4627
2.7119 0.5769 99.5513
2.8475 0.5769 99.7442
2.9831 0.5769 99.9768
3.1186 0.5769 100.0505
3.2542 0.5769 100.0524
3.3898 0.5769 100.0705
3.5254 0.5769 100.1502
3.6610 0.5769 100.3072
3.7966 0.5769 100.5425
3.9322 0.5769 101.2482
4.0678 0.5769 101.4654
4.2034 0.5769 101.1269
4.3390 0.5769 100.9861
4.4746 0.5769 100.8591
4.6102 0.5769 100.6116
4.7458 0.5769 100.1244
4.8814 0.5769 99.2501
5.0169 0.5769 97.7549
5.1525 0.5769 95.5575
5.2881 0.5769 92.8619
5.4237 0.5769 89.8831
5.5593 0.5769 86.7679
5.6949 0.5769 83.6680
5.8305 0.5769 80.7894
5.9661 0.5769 78.2154
6.1017 0.5769 74.8920
6.2373 0.5769 71.3037
6.3729 0.5769 68.2548
6.5085 0.5769 65.3332
6.6441 0.5769 62.2438
6.7797 0.5769 58.7775
6.9153 0.5769 54.7377
7.0508 0.5769 49.9043
7.1864 0.5769 44.0868
7.3220 0.5769 37.4766
7.4576 0.5769 30.2908
7.5932 0.5769 22.6823
7.7288 0.5769 14.8298
7.8644 0.5769 6.9773
8.0000 0.5769 -0.6725
0.0000 0.7692 98.0936
0.1356 0.7692 97.9502
0.2712 0.7692 97.9549
0.4068 0.7692 98.0066
0.5424 0.7692 98.0971
0.6780 0.7692 98.3240
0.8136 0.7692 98.4699
0.9492 0.7692 98.3418
1.0847 0.7692 98.4027
1.2203 0.7692 98.7119
1.3559 0.7692 98.7423
1.4915 0.7692 98.7589
1.6271 0.7692 98.8322
1.7627 0.7692 98.9152
1.8983 0.7692 98.9784
2.0339 0.7692 98.9909
2.1695 0.7692 99.0292
2.3051 0.7692 99.1012
2.4407 0.7692 99.1717
2.5763 0.7692 99.2666
2.7119 0.7692 99.4556
2.8475 0.7692 99.7643
2.9831 0.7692 100.0431
3.1186 0.7692 100.1625
3.2542 0.7692 100.2104
3.3898 0.7692 100.2695
3.5254 0.7692 100.3870
3.6610 0.7692 100.5564
3.7966 0.7692 100.9862
3.9322 0.7692 101.8064
4.0678 0.7692 101.9713
4.2034 0.7692 101.4714
4.3390 0.7692 101.0218
4.4746 0.7692 100.6853
4.6102 0.7692 100.2766
4.7458 0.7692 99.6619
4.8814 0.7692 98.6632
5.0169 0.7692 97.0517
5.1525 0.7692 94.7521
5.2881 0.7692 91.9696
5.4237 0.7692 88.9243
5.5593 0.7692 85.7953
5.6949 0.7692 82.7540
5.8305 0.7692 80.0799
5.9661 0.7692 77.4311
6.1017 0.7692 74.0280
6.2373 0.7692 70.0646
6.3729 0.7692 66.6379
6.5085 0.7692 63.5150
6.6441 0.7692 60.3603
6.7797 0.7692 56.8954
6.9153 0.7692 52.9037
7.0508 0.7692 48.1603
7.1864 0.7692 42.4550
7.3220 0.7692 35.9693
7.4576 0.7692 28.9383
7.5932 0.7692 21.5549
7.7288 0.7692 14.0231
7.8644 0.7692 6.6209
8.0000 0.7692 -0.6172
0.0000 0.9615 97.7571
0.1356 0.9615 97.6002
0.2712 0.9615 97.6063
0.4068 0.9615 97.6846
0.5424 0.9615 97.8698
0.6780 0.9615 98.1795
0.8136 0.9615 98.1456
0.9492 0.9615 98.0160
1.0847 0.9615 98.0705
1.2203 0.9615 98.4081
1.3559 0.9615 98.6084
1.4915 0.9615 98.5742
1.6271 0.9615 98.6300
1.7627 0.9615 98.7303
1.8983 0.9615 98.8023
2.0339 0.9615 98.8109
2.1695 0.9615 98.8412
2.3051 0.9615 98.9043
2.4407 0.9615 98.9869
2.5763 0.9615 99.1496
2.7119 0.9615 99.4422
2.8475 0.9615 99.8235
2.9831 0.9615 100.1274
3.1186 0.9615 100.2817
3.2542 0.9615 100.3653
3.3898 0.9615 100.4586
3.5254 0.9615 100.5933
3.6610 0.9615 100.8017
3.7966 0.9615 101.5299
3.9322 0.9615 102.3191
4.0678 0.9615 102.4317
4.2034 0.9615 101.8788
4.3390 0.9615 101.1278
4.4746 0.9615 100.5391
