angle radius accuracy
-20.0000 0.5000 22.2000
-19.3220 0.5000 28.6960
-18.6441 0.5000 35.1581
-17.9661 0.5000 41.5526
-17.2881 0.5000 47.8455
-16.6102 0.5000 54.0031
-15.9322 0.5000 59.9915
-15.2542 0.5000 65.7768
-14.5763 0.5000 71.3253
-13.8983 0.5000 76.6030
-13.2203 0.5000 81.5762
-12.5424 0.5000 86.2110
-11.8644 0.5000 90.4736
-11.1864 0.5000 94.3301
-10.5085 0.5000 97.7466
-9.8305 0.5000 100.6764
-9.1525 0.5000 102.8320
-8.4746 0.5000 104.1762
-7.7966 0.5000 104.8010
-7.1186 0.5000 104.7983
-6.4407 0.5000 104.2599
-5.7627 0.5000 103.2779
-5.0847 0.5000 101.9439
-4.4068 0.5000 100.3501
-3.7288 0.5000 98.5881
-3.0508 0.5000 96.7500
-2.3729 0.5000 94.9277
-1.6949 0.5000 93.2129
-1.0169 0.5000 91.6977
-0.3390 0.5000 90.4739
0.3390 0.5000 89.6302
1.0169 0.5000 89.1804
1.6949 0.5000 89.0639
2.3729 0.5000 89.2165
3.0508 0.5000 89.5744
3.7288 0.5000 90.0734
4.4068 0.5000 90.6496
5.0847 0.5000 91.2388
5.7627 0.5000 91.7772
6.4407 0.5000 92.2006
7.1186 0.5000 92.4451
7.7966 0.5000 92.4467
8.4746 0.5000 92.1412
9.1525 0.5000 91.4648
9.8305 0.5000 90.3533
10.5085 0.5000 88.8399
11.1864 0.5000 87.1370
11.8644 0.5000 85.2675
12.5424 0.5000 83.2441
13.2203 0.5000 81.0797
13.8983 0.5000 78.7871
14.5763 0.5000 76.3791
15.2542 0.5000 73.8685
15.9322 0.5000 71.2683
16.6102 0.5000 68.5911
17.2881 0.5000 65.8498
17.9661 0.5000 63.0572
18.6441 0.5000 60.2262
19.3220 0.5000 57.3695
20.0000 0.5000 54.5000
-20.0000 0.6026 19.3020
-19.3220 0.6026 26.0048
-18.6441 0.6026 32.8352
-17.9661 0.6026 39.5958
-17.2881 0.6026 46.2293
-16.6102 0.6026 52.7018
-15.9322 0.6026 58.9796
-15.2542 0.6026 65.0287
-14.5763 0.6026 70.8153
-13.8983 0.6026 76.3057
-13.2203 0.6026 81.4659
-12.5424 0.6026 86.2620
-11.8644 0.6026 90.6625
-11.1864 0.6026 94.6750
-10.5085 0.6026 98.4205
-9.8305 0.6026 101.6152
-9.1525 0.6026 103.9745
-8.4746 0.6026 106.0147
-7.7966 0.6026 107.1761
-7.1186 0.6026 107.6098
-6.4407 0.6026 107.4384
-5.7627 0.6026 106.7537
-5.0847 0.6026 105.6476
-4.4068 0.6026 104.2121
-3.7288 0.6026 102.5390
-3.0508 0.6026 100.7203
-2.3729 0.6026 98.8478
-1.6949 0.6026 97.0134
-1.0169 0.6026 95.3090
-0.3390 0.6026 93.9388
0.3390 0.6026 93.1420
1.0169 0.6026 92.8381
1.6949 0.6026 92.8687
2.3729 0.6026 93.1200
3.0508 0.6026 93.5281
3.7288 0.6026 94.0290
4.4068 0.6026 94.5585
5.0847 0.6026 95.0528
5.7627 0.6026 95.4477
6.4407 0.6026 95.6793
7.1186 0.6026 95.6835
7.7966 0.6026 95.3963
8.4746 0.6026 94.7181
9.1525 0.6026 93.5027
9.8305 0.6026 92.1477
10.5085 0.6026 90.4560
11.1864 0.6026 88.5856
11.8644 0.6026 86.6065
12.5424 0.6026 84.4440
13.2203 0.6026 82.1299
13.8983 0.6026 79.6780
14.5763 0.6026 77.1009
