angle,radius,accuracy
15,3.5,70
15,5.5,66.66666667
15,7.5,30
45,3.5,80
45,5.5,66.66666667
45,7.5,60
75,3.5,50
75,5.5,64.28571429
75,7.5,66.66666667
105,3.5,70
105,5.5,70
105,7.5,60
135,3.5,60
135,5.5,76.92307692
135,7.5,60
165,3.5,69.23076923
165,5.5,57.14285714
165,7.5,60
195,3.5,60
195,5.5,57.14285714
195,7.5,69.23076923
225,3.5,60
225,5.5,76.92307692
225,7.5,60
255,3.5,60
255,5.5,70
255,7.5,70
285,3.5,66.66666667
285,5.5,64.28571429
285,7.5,50
315,3.5,60
315,5.5,66.66666667
315,7.5,80
345,3.5,30
345,5.5,66.66666667
345,7.5,70
